Наименование;Код артикула;Металл;Сортамент;Марка;Толщина;Ширина;Длина;Вес
Алюминиевый лист 2.0х1500х4000 мм 5083;АЛ5083215004000;Алюминий;Лист/плита;5083;2 мм;1500 мм;4000 мм;30.6 кг
Алюминиевый лист 3.0х1500х4000 мм 5083;АЛ5083315004000;Алюминий;Лист/плита;5083;3 мм;1500 мм;4000 мм;
Алюминиевый лист 4.0х1500х4000 мм 5083;АЛ5083415004000шт;Алюминий;Лист/плита;5083;4 мм;1500 мм;4000 мм;
Алюминиевый лист 3,0х1200х1000 мм А5;АЛА5312001426;Алюминий;Лист/плита;А5;3 мм;1200 мм;1000 мм;
Алюминиевый лист 10х1500х3000 мм АД31;АЛАД311015003000;Алюминий;Лист/плита;АД31;10 мм;1500 мм;3000 мм;
Алюминиевый лист 14х1600х2850 мм АД31;АЛАД311416002850;Алюминий;Лист/плита;АД31;14 мм;1600 мм;2850 мм;
Алюминиевый лист 15х1600х2100 мм АД31;АЛАД311516002100;Алюминий;Лист/плита;АД31;15 мм;1600 мм;2100 мм;
Алюминиевый лист рифленый (квинтет) 5х1000х2200 мм;АЛК510002200;Алюминий;Лист/плита;АК12;5 мм;1000 мм;2200 мм;
Алюминиевый лист 3,0х1200х2000 мм АК7П;АЛАК7П312002150;Алюминий;Лист/плита;АК7;3 мм;1200 мм;2000 мм;
Алюминиевый лист 1,0х1500х4000 мм АМг2М;АЛАМГ2М115004000;Алюминий;Лист/плита;АМг2;1 мм;1500 мм;4000 мм;
Алюминиевый лист 1,5х1200х2000 мм АМг2;АЛАМГ21512002000;Алюминий;Лист/плита;АМг2;1.5 мм;1200 мм;2000 мм;
Алюминиевый лист 10,0х730х1250 мм АМг2;АЛАМГ2107301250;Алюминий;Лист/плита;АМг2;10 мм;730 мм;1250 мм;
Алюминиевый лист 2,0х1500х3000 мм АМг2;АЛАМГ2215003000;Алюминий;Лист/плита;АМг2;2 мм;1500 мм;3000 мм;
Алюминиевый лист 2,5х1200х3000 мм АМг2;АЛАМГ22512003000;Алюминий;Лист/плита;АМг2;2.5 мм;1200 мм;3000 мм;
